Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSG00482	JP	無頭騎士異聞錄 Relay [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00482_00/JP0117-PCSG00482_00-GAME000000000000_bg_1_b96caba5214873dd6dab9d4058f1472c457b44a1.pkg	KO5ifR1dQ+d7BRgYGppDbTGxMALZ7+7o62qABPD5b13w3uIy55SIqYtYpy3W6J87GuODGwAAueMTNgAA	JP0117-PCSG00482_00-GAME000000000000	2018/5/12 19:03	デュラララ!! Relay	2144185280	277060cb518a9551caa5e03fc95b843804f00ca2852680bdbf95efeb4a2de743	3.35	1
PCSG00483	JP	阿泰諾神劍 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0036/PCSG00483_00/nGnEvbXmPLPEADJJrXPMEhjhdTnMATJmnmRqKtcGzdVNtbfVDlzOFfSIiWkhkGdSYDApneiZXdwquaRZUMDsCQSiLMuPzhYWIsYRF.pkg	KO5ifR1dQ+d7BQDtN4PaYmJhDLI/xNPX1THM1c/dNQhsKT7/veMwmXOqYe82BU7tiBKW0tDRGB/cAACUyRMG	JP0036-PCSG00483_00-TIMEAVENGER00000	2017/10/20 08:42	タイムアベンジャー	525965232	413efc1099e17c737ea153d08d6c2be5261b0e89d202c203abaf0961175e4e01	3.35	1
PCSG00484	JP	穆拉納秘寶 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0060/PCSG00484_00/gMXoWliKvVYPJIJfCFFNCMUnqaTOnkiPsyOKQLRXtgTcxdLwxKwWIabPwInappRRGLUoobtZVcjsHtIlolbGLtJGbeLvYtvGFoUiG.pkg	KO5ifR1dQ+d7BYDcA7XFxMIEZL+Po2+oj6Ofo2sExFJ8/ivd6p4df+WVU4D5YTPepkiv0Rgf3AAAJHMTYQAA	JP0060-PCSG00484_00-LAMULANAEX000000	2017/9/26 00:00		185781280	828101863be83f9028984a38729e99d3148d7a8bc7650bb73e65d5b4b6130b63	3.35	1
PCSG00485	JP	薄櫻鬼：隨想錄 [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00485_00-IFVITAZUISOUROKU		薄桜鬼 随想録 面影げ花	3308321200			
PCSG00486	JP	超次元海王星：重生 3 V世紀 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0031/PCSG00486_00/ndEcZLQHAuVoPFBYHQqbFPxwunBkFaQdEilIVoPRGguELtIMIVhSEylahByiWBtTSznZHBIJdgNkJRjSxNVBCtEKsYOJnhpVMKtNV.pkg	KO5ifR1dQ+d7BQDtN4TaYmJhBrLfzzUgJNTPNcjVyTMoxMPAGJ//yuMLNBzddwYwmVvFGny/LTEa44MbAABn3RLn	JP0031-PCSG00486_00-NEPTUNEREBIRTH03	2018/5/15 02:58	神次次元ゲイム ネプテューヌRe;Birth3 V CENTURY	3357790032	7e6320daf5d4e4259f0f3da332754d74ff52f07820ac33d72606edc94bcf049c	3.3	1
PCSG00487	JP	男游郭 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0367/PCSG00487_00/JP0367-PCSG00487_00-0000000000000000_bg_1_3b76646ebdb51d96067204c476436fbcd6f03869.pkg	KO5ifR1dQ+d7BRgYm5lDbTGxMAfZb4AG8Pnv5ez65WtVbsozceQxb3M6Vzoa44MbAAC60hKi	JP0367-PCSG00487_00-0000000000000000	2018/6/22 19:25	男遊郭	803946816	77ec892e8a4bd7703d8f3f3ee720717d35e217b046c8883f861b5d06cc429bb8	3.35	1
PCSG00488	JP	英雄傳說：空之軌跡 FC 進化版 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00488_00/JP0117-PCSG00488_00-FCEVOLUTION00000_bg_1_efba4a3bd19c51859c8217473cd17c963c97b30b.pkg	KO5ifR1dQ+d7BRgYGppDbTGxsADZ7+bsGubvExri6e8HthSf/7oX3i18o3pDvmFZl2aq6dOfozE+uAEAtTgVhAAA	JP0117-PCSG00488_00-FCEVOLUTION00000	2017/9/26 00:00	英雄伝説 空の軌跡 FC Evolution	2848372336	f4eec12d9f597a911d3c67c730a559a149fe9d0e0534a8152f13fef2ea6a2cef	3.5	1
PCSG00489	JP	英雄傳說：空之軌跡 SC 進化版 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00489_00/JP0117-PCSG00489_00-SCEVOLUTION00000_bg_1_5a766f1cac7e45a57e4ecbca1e44c9c85ccc1d1b.pkg	KO5ifR1dQ+d7BRgYGppDbTGxsATZH+zsGubvExri6e8HthSf/9Yf3iSxUqz499Ow0pVvzsZeHY3xwQ0ANK0WbAAA	JP0117-PCSG00489_00-SCEVOLUTION00000	2017/9/26 00:00	英雄伝説 空の軌跡 SC Evolution	3551662096	63d2dfe3a6748335e625737b844d36af261f4a9d5a1533dc81655f1e325b159a	3.55	1
PCSG00490	JP	英雄傳說：空之軌跡 3rd 進化版 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00490_00/JP0117-PCSG00490_00-THIRDEVOLUTION00_bg_1_60112e7471a37078d5a9233e5fe8a52c43ad7170.pkg	KO5ifR1dQ+d7BRgYGppDbTGxBNsf4uEZ5OIa5u8TGuLp7wc0Aw8wnqW85GhPbSR/9HsvibADLqMxPrgBAARVE9wA	JP0117-PCSG00490_00-THIRDEVOLUTION00	2018/5/12 02:42	英雄伝説 空の軌跡 the 3rd Evolution	3187896960	4f6f3f0b1c8a456c6ca34417fe050a6b585b760b066772c280dde2764be288e4	3.57	1
PCSG00491	JP	疾走王子 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00491_00/JP0117-PCSG00491_00-0000000000000000_bg_1_adb09f7e4cc332a6b6b24180d3101fd58da29f93.pkg	MISSING	JP0117-PCSG00491_00-0000000000000000	2018/6/1 17:53	プリンス・オブ・ストライド	1563379424	2de773364c11b47772445665604a57bbc5f3bad3bb10b4e8b174e1512eaa9a00	3.5	1
